"FLIR_ID_Year","FLIR_ID","site","date","year","time","survey_time","photo_type","determined_usage","water","air_temperature_c","humidity","microhabitat_type","distance_from_object_m","meter_marker","marker_number","direction","record_id","latitude.x","longitude.x","latitude.y","longitude.y","observer","FLIR_ID_Date","Notes","id","mean","median","min","max","sd","perc_5","perc_95","SHDI","hot_pixels","cold_pixels","hot_mean","cold_mean"
"FLIR1455_2023","FLIR1455","RV Pond",2023-05-22,2023,"20:39","Night","whole_site","good","n",21.2,59.6,NA,0,NA,NA,NA,"c009f3e3-9520-4b16-9646-d451b45f56d5",41.69198594,-80.50096319,41.69204755,-80.50094646,"Brandon Hoenig","FLIR1455_2023-05","","FLIR1455_2023.jpg",15.393071674703,15.3844546914233,7.59686421962869,17.3341656291656,0.476014961091489,14.7885331328933,16.1509849824268,0.796922032914628,3822,3793,16.3840860730206,14.2847146800616
"FLIR1397_2023","FLIR1397","Wood Lab Pond",2023-05-15,2023,"20:57","Night","whole_site","good","y",13.9,58.1,NA,5.8,NA,NA,NA,"7c1c8d74-03d5-47cb-897a-0daf8bf8c1b2",41.56819704,-80.45154196,41.56828818,-80.45147421,"Rachel Verdi","FLIR1397_2023-05","","FLIR1397_2023.jpg",14.791176033913,14.9478002890476,11.1102514896298,17.200924046373,1.08237828218608,13.0945065650905,16.2912462300184,1.44888069261995,3813,3771,16.5508656387451,12.9039344782066
"FLIR1289_2023","FLIR1289","Admin Pond",2023-05-10,2023,"21:18","Night","whole_site","good","y",15.6,57.4,NA,4.31,NA,NA,NA,"6c187e39-b846-4b18-9679-7dd26a1a947c",41.64203454,-80.42891759,41.64203617,-80.42882144,"Brandon Hoenig","FLIR1289_2023-05","","FLIR1289_2023.jpg",11.0098431318422,11.1752909204122,7.44933419265288,13.7181321736645,0.923363216308931,9.29477779390032,12.2391360477867,1.37532044873973,3808,3820,12.62741737012,8.78695392743615
"FLIR1289_2023","FLIR1289","Admin Pond",2023-05-10,2023,"21:18","Night","whole_site","good","n",15.6,57.4,NA,4.31,NA,NA,NA,"6c187e39-b846-4b18-9679-7dd26a1a947c",41.64203454,-80.42891759,41.64203617,-80.42882144,"Brandon Hoenig","FLIR1289_2023-05","Duplicate data entry (one above)?","FLIR1289_2023.jpg",11.0098431318422,11.1752909204122,7.44933419265288,13.7181321736645,0.923363216308931,9.29477779390032,12.2391360477867,1.37532044873973,3808,3820,12.62741737012,8.78695392743615
"FLIR1913_2023","FLIR1913","Wood Lab Pond",2023-07-03,2023,"22:23","Night","transect","good","n",21.1,88.7,NA,1.54,10,NA,"North","16411281-85e1-4643-9fca-86c123aa4c91",41.56825379,-80.45152959,41.56821749,-80.45142919,"Rachel Verdi","FLIR1913_2023-07","","FLIR1913_2023.jpg",19.3555534672763,19.3771447991834,18.8647955942663,19.7028322357133,0.122513352750491,19.094037083195,19.5075446813287,0.233826918330121,3563,3765,19.5431295471027,19.0111402630453
"FLIR1915_2023","FLIR1915","Wood Lab Pond",2023-07-03,2023,"22:24","Night","transect","good","y",21.1,88.7,NA,1.55,10,NA,"South","16411281-85e1-4643-9fca-86c123aa4c91",41.5682455,-80.45149917,41.56821749,-80.45142919,"Rachel Verdi","FLIR1915_2023-07","","FLIR1915_2023.jpg",21.2276544867841,21.2358626533374,20.7649396286128,21.5237798842932,0.125368067071115,21.0274230957205,21.4172371492442,0.00197422229645728,3525,3802,21.4405122470592,20.9908912491012
"FLIR1917_2023","FLIR1917","Wood Lab Pond",2023-07-03,2023,"22:24","Night","transect","good","n",21.1,88.7,NA,1.49,10,NA,"East","16411281-85e1-4643-9fca-86c123aa4c91",41.56828005,-80.45148534,41.56821749,-80.45142919,"Rachel Verdi","FLIR1917_2023-07","","FLIR1917_2023.jpg",20.2740237891028,20.2810770032503,19.6648889234413,20.5232929547449,0.103292036876259,20.1084860593225,20.4210936599475,0.00455650984363604,3769,3809,20.4473468605196,20.0245357453278
"FLIR1919_2023","FLIR1919","Wood Lab Pond",2023-07-03,2023,"22:24","Night","transect","good","n",21.1,88.7,NA,1.46,10,NA,"West","16411281-85e1-4643-9fca-86c123aa4c91",41.56827418,-80.45149164,41.56821749,-80.45142919,"Rachel Verdi","FLIR1919_2023-07","","FLIR1919_2023.jpg",19.7417879370686,19.7570125153046,19.1812311618784,20.0598924396609,0.0961025329081034,19.5998104017661,19.849053084328,0.128347277208258,3582,3656,19.8915286489375,19.4324699185206
"FLIR1921_2023","FLIR1921","Wood Lab Pond",2023-07-03,2023,"22:24","Night","transect","good","n",21.1,88.7,NA,1.51,8,NA,"North","16411281-85e1-4643-9fca-86c123aa4c91",41.56825726,-80.45150831,41.56821749,-80.45142919,"Rachel Verdi","FLIR1921_2023-07","","FLIR1921_2023.jpg",20.0858514759176,20.0922907475638,19.7678451224992,20.4533781030042,0.0895748510490624,19.9356038548717,20.2217816299871,0,3788,3716,20.2739981816451,19.8957553618009
"FLIR1823_2023","FLIR1823","Wood Lab Pond",2023-07-03,2023,"22:25","Night","transect","good","n",21.1,88.7,NA,1.53,8,NA,"South","16411281-85e1-4643-9fca-86c123aa4c91",41.56827114,-80.45151813,41.56821749,-80.45142919,"Rachel Verdi","FLIR1823_2023-07","","FLIR1823_2023.jpg",19.9513296633211,20.0220814536139,18.6843128174538,20.8507219888145,0.449258527032191,18.9467270456965,20.544795654288,0.698586979856114,3808,3715,20.6493081517773,18.879299670038
"FLIR1925_2023","FLIR1925","Wood Lab Pond",2023-07-03,2023,"22:25","Night","transect","good","y",21.1,88.7,NA,1.47,8,NA,"East","16411281-85e1-4643-9fca-86c123aa4c91",41.56828232,-80.4515267,41.56821749,-80.45142919,"Rachel Verdi","FLIR1925_2023-07","","FLIR1925_2023.jpg",19.828112831013,19.8382290841872,19.3390800206198,20.3403381274432,0.0982346372210892,19.6432006950946,19.9572301074186,0.0506058800180806,3819,3761,20.0136344767738,19.558506883076
