"record_id","latitude.x","longitude.x","time_wholesite","distance_from_object_m_wholesite","FLIR_ID","latitude.y","longitude.y","observer","date","site","survey_time","air_temperature_c","humidity","photo_type","meter_marker","distance_from_object_m_transect","marker_number","microhabitat_type","distance_from_object_m_microhabitat","FLIR_ID_Date","FLIR_ID_Year"
"e51a4521-169d-4766-9dc3-20da4ff0bc24",41.7121954,-80.3913581,NA,NA,"FLIR0789",41.7120923,-80.3914088,"Rachel Verdi",2023-10-27,"Vorisek Pond","Night",19.5,84.7,"transect",4,1.51,NA,NA,NA,"FLIR0789_2023-10","FLIR0789_2023"
"e51a4521-169d-4766-9dc3-20da4ff0bc24",41.7121788,-80.3913554,NA,NA,"FLIR0793",41.7120923,-80.3914088,"Rachel Verdi",2023-10-27,"Vorisek Pond","Night",19.5,84.7,"transect",2,1.5,NA,NA,NA,"FLIR0793_2023-10","FLIR0793_2023"
"e51a4521-169d-4766-9dc3-20da4ff0bc24",41.7122208,-80.3913521,NA,NA,"FLIR0795",41.7120923,-80.3914088,"Rachel Verdi",2023-10-27,"Vorisek Pond","Night",19.5,84.7,"transect",2,1.62,NA,NA,NA,"FLIR0795_2023-10","FLIR0795_2023"
"e51a4521-169d-4766-9dc3-20da4ff0bc24",41.712221,-80.3913522,NA,NA,"FLIR0797",41.7120923,-80.3914088,"Rachel Verdi",2023-10-27,"Vorisek Pond","Night",19.5,84.7,"transect",2,1.77,NA,NA,NA,"FLIR0797_2023-10","FLIR0797_2023"
"e51a4521-169d-4766-9dc3-20da4ff0bc24",41.7122208,-80.3913522,NA,NA,"FLIR0799",41.7120923,-80.3914088,"Rachel Verdi",2023-10-27,"Vorisek Pond","Night",19.5,84.7,"transect",2,1.57,NA,NA,NA,"FLIR0799_2023-10","FLIR0799_2023"
"e51a4521-169d-4766-9dc3-20da4ff0bc24",41.7122264,-80.3913518,NA,NA,"FLIR0801",41.7120923,-80.3914088,"Rachel Verdi",2023-10-27,"Vorisek Pond","Night",19.5,84.7,"transect",0,1.52,NA,NA,NA,"FLIR0801_2023-10","FLIR0801_2023"
"e51a4521-169d-4766-9dc3-20da4ff0bc24",41.7122508,-80.3913194,NA,NA,"FLIR0803",41.7120923,-80.3914088,"Rachel Verdi",2023-10-27,"Vorisek Pond","Night",19.5,84.7,"transect",0,1.67,NA,NA,NA,"FLIR0803_2023-10","FLIR0803_2023"
"e51a4521-169d-4766-9dc3-20da4ff0bc24",41.712249,-80.3913201,NA,NA,"FLIR0805",41.7120923,-80.3914088,"Rachel Verdi",2023-10-27,"Vorisek Pond","Night",19.5,84.7,"transect",0,1.45,NA,NA,NA,"FLIR0805_2023-10","FLIR0805_2023"
"e51a4521-169d-4766-9dc3-20da4ff0bc24",41.7122412,-80.3913149,NA,NA,"FLIR0807",41.7120923,-80.3914088,"Rachel Verdi",2023-10-27,"Vorisek Pond","Night",19.5,84.7,"transect",0,1.52,NA,NA,NA,"FLIR0807_2023-10","FLIR0807_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.6386467,-80.49533,NA,NA,"FLIR0599",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",10,1.43,NA,NA,NA,"FLIR0599_2023-09","FLIR0599_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.6387583,-80.495295,NA,NA,"FLIR0601",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",10,1.5,NA,NA,NA,"FLIR0601_2023-09","FLIR0601_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.6387583,-80.495295,NA,NA,"FLIR0603",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",10,1.43,NA,NA,NA,"FLIR0603_2023-09","FLIR0603_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.6387863,-80.4953473,NA,NA,"FLIR0605",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",10,1.48,NA,NA,NA,"FLIR0605_2023-09","FLIR0605_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.638785,-80.4953483,NA,NA,"FLIR0609",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",8,1.54,NA,NA,NA,"FLIR0609_2023-09","FLIR0609_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.638785,-80.4953483,NA,NA,"FLIR0613",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",8,1.34,NA,NA,NA,"FLIR0613_2023-09","FLIR0613_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.6387567,-80.49533,NA,NA,"FLIR0615",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",8,1.3,NA,NA,NA,"FLIR0615_2023-09","FLIR0615_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.6387567,-80.49533,NA,NA,"FLIR0617",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",8,1.6,NA,NA,NA,"FLIR0617_2023-09","FLIR0617_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.6386983,-80.4954267,NA,NA,"FLIR0621",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",6,1.42,NA,NA,NA,"FLIR0621_2023-09","FLIR0621_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.6387044,-80.495364,NA,NA,"FLIR0623",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",6,1.39,NA,NA,NA,"FLIR0623_2023-09","FLIR0623_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.6386952,-80.4953284,NA,NA,"FLIR0625",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",6,1.57,NA,NA,NA,"FLIR0625_2023-09","FLIR0625_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.6386999,-80.4953134,NA,NA,"FLIR0627",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",6,1.54,NA,NA,NA,"FLIR0627_2023-09","FLIR0627_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.6387483,-80.4952917,NA,NA,"FLIR0629",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",4,1.74,NA,NA,NA,"FLIR0629_2023-09","FLIR0629_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.6386883,-80.4953883,NA,NA,"FLIR0631",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",4,1.62,NA,NA,NA,"FLIR0631_2023-09","FLIR0631_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.638715,-80.4953833,NA,NA,"FLIR0633",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",4,1.54,NA,NA,NA,"FLIR0633_2023-09","FLIR0633_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.6387392,-80.4953909,NA,NA,"FLIR0635",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",4,1.49,NA,NA,NA,"FLIR0635_2023-09","FLIR0635_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.6386817,-80.495425,NA,NA,"FLIR0637",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",2,1.49,NA,NA,NA,"FLIR0637_2023-09","FLIR0637_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.6386817,-80.495425,NA,NA,"FLIR0639",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",2,1.56,NA,NA,NA,"FLIR0639_2023-09","FLIR0639_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.6387249,-80.4953186,NA,NA,"FLIR0641",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",2,1.57,NA,NA,NA,"FLIR0641_2023-09","FLIR0641_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.638725,-80.4953183,NA,NA,"FLIR0643",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",2,1.5,NA,NA,NA,"FLIR0643_2023-09","FLIR0643_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.638725,-80.4953183,NA,NA,"FLIR0645",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",0,1.31,NA,NA,NA,"FLIR0645_2023-09","FLIR0645_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.6387633,-80.49535,NA,NA,"FLIR0649",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",0,1.5,NA,NA,NA,"FLIR0649_2023-09","FLIR0649_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.638725,-80.495385,NA,NA,"FLIR0651",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",0,1.31,NA,NA,NA,"FLIR0651_2023-09","FLIR0651_2023"
"e0318e58-d7d5-4222-bf60-5e299b16988d",41.638725,-80.495385,NA,NA,"FLIR0653",41.6387594,-80.4953366,"Rachel Verdi",2023-09-15,"Tuttle Pond","Night",16.8,83.5,"transect",0,1.51,NA,NA,NA,"FLIR0653_2023-09","FLIR0653_2023"
"8a3d1c57-f1a1-4c31-847f-a511273fb46a",41.6919130459727,-80.5011347572422,NA,NA,"FLIR0669",41.6919385409,-80.5011582748,"Rachel Verdi",2023-09-16,"RV Pond","Night",15.1,82.1,"transect",10,1.38,NA,NA,NA,"FLIR0669_2023-09","FLIR0669_2023"
"8a3d1c57-f1a1-4c31-847f-a511273fb46a",41.6918674860436,-80.5011639087077,NA,NA,"FLIR0671",41.6919385409,-80.5011582748,"Rachel Verdi",2023-09-16,"RV Pond","Night",15.1,82.1,"transect",10,1.04,NA,NA,NA,"FLIR0671_2023-09","FLIR0671_2023"
"8a3d1c57-f1a1-4c31-847f-a511273fb46a",41.6918676516457,-80.5011378262318,NA,NA,"FLIR0673",41.6919385409,-80.5011582748,"Rachel Verdi",2023-09-16,"RV Pond","Night",15.1,82.1,"transect",10,1.49,NA,NA,NA,"FLIR0673_2023-09","FLIR0673_2023"
"8a3d1c57-f1a1-4c31-847f-a511273fb46a",41.6918956693399,-80.5011428819008,NA,NA,"FLIR0675",41.6919385409,-80.5011582748,"Rachel Verdi",2023-09-16,"RV Pond","Night",15.1,82.1,"transect",10,1.36,NA,NA,NA,"FLIR0675_2023-09","FLIR0675_2023"
"8a3d1c57-f1a1-4c31-847f-a511273fb46a",41.6918727464079,-80.5011225509084,NA,NA,"FLIR0679",41.6919385409,-80.5011582748,"Rachel Verdi",2023-09-16,"RV Pond","Night",15.1,82.1,"transect",8,1.46,NA,NA,NA,"FLIR0679_2023-09","FLIR0679_2023"
"8a3d1c57-f1a1-4c31-847f-a511273fb46a",41.6918478194855,-80.5010947453288,NA,NA,"FLIR0681",41.6919385409,-80.5011582748,"Rachel Verdi",2023-09-16,"RV Pond","Night",15.1,82.1,"transect",8,1.37,NA,NA,NA,"FLIR0681_2023-09","FLIR0681_2023"
"8a3d1c57-f1a1-4c31-847f-a511273fb46a",41.6918416126026,-80.5010871412928,NA,NA,"FLIR0683",41.6919385409,-80.5011582748,"Rachel Verdi",2023-09-16,"RV Pond","Night",15.1,82.1,"transect",8,1.37,NA,NA,NA,"FLIR0683_2023-09","FLIR0683_2023"
"8a3d1c57-f1a1-4c31-847f-a511273fb46a",41.6918488332871,-80.501125962933,NA,NA,"FLIR0685",41.6919385409,-80.5011582748,"Rachel Verdi",2023-09-16,"RV Pond","Night",15.1,82.1,"transect",8,1.42,NA,NA,NA,"FLIR0685_2023-09","FLIR0685_2023"
"8a3d1c57-f1a1-4c31-847f-a511273fb46a",41.6918346288007,-80.5011120094733,NA,NA,"FLIR0687",41.6919385409,-80.5011582748,"Rachel Verdi",2023-09-16,"RV Pond","Night",15.1,82.1,"transect",6,1.46,NA,NA,NA,"FLIR0687_2023-09","FLIR0687_2023"
"8a3d1c57-f1a1-4c31-847f-a511273fb46a",41.6918247225402,-80.5011219718221,NA,NA,"FLIR0691",41.6919385409,-80.5011582748,"Rachel Verdi",2023-09-16,"RV Pond","Night",15.1,82.1,"transect",6,1.28,NA,NA,NA,"FLIR0691_2023-09","FLIR0691_2023"
"8a3d1c57-f1a1-4c31-847f-a511273fb46a",41.691812430358,-80.5010777930694,NA,NA,"FLIR0693",41.6919385409,-80.5011582748,"Rachel Verdi",2023-09-16,"RV Pond","Night",15.1,82.1,"transect",6,1.15,NA,NA,NA,"FLIR0693_2023-09","FLIR0693_2023"
"8a3d1c57-f1a1-4c31-847f-a511273fb46a",41.6918295453097,-80.501109755665,NA,NA,"FLIR0697",41.6919385409,-80.5011582748,"Rachel Verdi",2023-09-16,"RV Pond","Night",15.1,82.1,"transect",6,1.5,NA,NA,NA,"FLIR0697_2023-09","FLIR0697_2023"
"8a3d1c57-f1a1-4c31-847f-a511273fb46a",41.6918272181377,-80.5010930901847,NA,NA,"FLIR0699",41.6919385409,-80.5011582748,"Rachel Verdi",2023-09-16,"RV Pond","Night",15.1,82.1,"transect",4,1.29,NA,NA,NA,"FLIR0699_2023-09","FLIR0699_2023"
"8a3d1c57-f1a1-4c31-847f-a511273fb46a",41.6918220817871,-80.5011142428859,NA,NA,"FLIR0701",41.6919385409,-80.5011582748,"Rachel Verdi",2023-09-16,"RV Pond","Night",15.1,82.1,"transect",4,1.19,NA,NA,NA,"FLIR0701_2023-09","FLIR0701_2023"
"8a3d1c57-f1a1-4c31-847f-a511273fb46a",41.6918246439185,-80.5010991217557,NA,NA,"FLIR0705",41.6919385409,-80.5011582748,"Rachel Verdi",2023-09-16,"RV Pond","Night",15.1,82.1,"transect",4,1.07,NA,NA,NA,"FLIR0705_2023-09","FLIR0705_2023"
"8a3d1c57-f1a1-4c31-847f-a511273fb46a",41.691835593657,-80.5011028594754,NA,NA,"FLIR0707",41.6919385409,-80.5011582748,"Rachel Verdi",2023-09-16,"RV Pond","Night",15.1,82.1,"transect",4,1.43,NA,NA,NA,"FLIR0707_2023-09","FLIR0707_2023"
"8a3d1c57-f1a1-4c31-847f-a511273fb46a",41.6918396091936,-80.5011052889795,NA,NA,"FLIR0715",41.6919385409,-80.5011582748,"Rachel Verdi",2023-09-16,"RV Pond","Night",15.1,82.1,"transect",2,1.22,NA,NA,NA,"FLIR0715_2023-09","FLIR0715_2023"
"8a3d1c57-f1a1-4c31-847f-a511273fb46a",41.6918504426201,-80.5010925344868,NA,NA,"FLIR0719",41.6919385409,-80.5011582748,"Rachel Verdi",2023-09-16,"RV Pond","Night",15.1,82.1,"transect",2,1.33,NA,NA,NA,"FLIR0719_2023-09","FLIR0719_2023"
