"FLIR_ID_Date","photo_type","date","site"
"FLIR1669_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1671_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1673_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1675_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1677_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1679_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1683_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1685_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1687_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1689_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1691_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1693_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1695_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1697_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1699_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1701_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1703_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1705_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1707_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1709_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1711_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR1713_2024-06","transect",2024-06-03,"Wood Lab Pond"
"FLIR2231_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2233_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2235_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2237_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2239_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2241_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2243_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2245_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2247_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2249_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2253_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2255_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2257_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2259_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2261_2024-07","transect",2024-07-24,"RV Pond"
"FLIR2263_2024-07","transect",2024-07-24,"RV Pond"
